date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,landings,Total Landed Weight
2014-12-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,232,26,3697200
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,232,863,122718600
2014-12-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,131,2,275400
2014-12-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,131,23,3167100
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,131,646,88954200
2014-12-01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,787,800,41,15580000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,787,800,31,11780000
2014-12-01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,222B,29,13340000
2014-12-01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,222B,55,25300000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222B,8,3680000
2014-12-01,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,222,30,13800000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222,49,21805000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,400,43,15050000
2014-12-01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,767,322,24,7680000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,322,37,11840000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,300,284,63616000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,-,586,116028000
2014-12-01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,422,23,14490000
2014-12-01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,422,153,96390000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,747,422,1,630000
2014-12-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,900ER,61,9595300
2014-12-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,900ER,4,629200
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,900,698,109605400
2014-12-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,800,22,3216300
2014-12-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,800,20,2926000
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,800,961,140493100
2014-12-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,700,2,258400
2014-12-01,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,-,34,4834800
2014-12-01,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,-,12,1650000
2014-12-01,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,300,29,12147462
